id,sfdc_id,FirstName,LastName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,Email,LeadSource,Birthdate,Personal_Email__c,Gender,ASU_Gmail__c,Arizona_Resident__c,Visa_Type__c,Undergraduate_GPA__c,Jr_Sr_GPA__c,Military_Status__c,Military_Branch__c,Email_Status__c,Marital_Status__c,Ethnicity,FERPA__c,Undergraduate_Major__c,Graduate_GPA__c,Contact_Preference__c,Student_Number__c,ASURite_ID__c,Deceased__c,ASU_Email__c
39,,Winnifred,Towne,Dr.,"6431 Nash Drive","West Rachelle","South Dakota",42202-1849,"United States","214 Schuster Ville","East Madisynshire","New Jersey",90272,"United States","(630) 469-2895 x8686","973-970-5494 x1027","810.415.1417 x3572",727-401-9345,"(218) 351-9949 x8651",winnifred@example.com,"Partial App","1992-06-16 23:38:12.000000",winnifred@example.com,Male,Winnifred@asu.gmail,,,3.57542203426395,3.31523382650227,,,Valid,Unknown,Asian,,"Mechanical Engineering",,Email,2266188467,1207059993,,Winnifred.Towne@asuFake.edu
40,,Hellen,Treutel,Dr.,"853 Wade Greens",Paytonmouth,"North Dakota",12493,"United States","8231 McCullough Prairie","North Thad",Maryland,95703-9535,"United States",407.557.3198,"518.425.7928 x4819","330.901.7419 x3899","318-952-6920 x4345",952-775-5289,hellen@example.com,Walk-in,"1993-09-10 10:47:03.000000",hellen@example.com,Unknown,Hellen@asu.gmail,,,3.64168019479839,3.92853152411182,,,Role,Single,"Am. Indian Alaska Native",,Biology,3.29372335247274,"Mobile Phone",5024644383,1203598022,,Hellen.Treutel@asuFake.edu
41,,Lauriane,Maggio,Mr.,"971 West Greens","Lake Marleehaven","South Carolina",96722,"United States","23742 Dietrich Fort",Lonzoburgh,Indiana,19569-5158,"United States","202.503.7655 x2942",424.724.0552,"903-412-4955 x8671","202-410-5468 x7430","(564) 773-3088 x4040",lauriane@example.com,"College Fair - Int","1990-12-06 13:51:32.000000",lauriane@example.com,Male,Lauriane@asu.gmail,,,2.45355059069019,2.56902545020892,,,Role,Divorced,"Pacific Islander",,Business,,"Home Phone",1869591577,1208308938,,Lauriane.Maggio@asuFake.edu
42,,Beverly,Donnelly,Prof,"577 Johnston Stravenue",Haleymouth,Minnesota,97616-9767,"United States","9287 Rogahn River",Schadenberg,Wyoming,12613-9859,"United States","229.225.6516 x0595","(227) 269-3503",347.509.0956,870-251-1723,"215-551-6951 x3474",beverly@example.org,"College Fair - Int","1989-06-27 13:54:03.000000",beverly@example.org,Unknown,Beverly@asu.gmail,,,2.57622346600654,2.45983873530167,,,Role,Divorced,White,,"Mechanical Engineering",3.47374308125212,"Local Phone",0724322109,1201081837,,Beverly.Donnelly@asuFake.edu
43,,Vickie,Corwin,Mrs.,"5597 Fisher Track",Mittieberg,Vermont,59568,"United States","9637 Mandy Pine",Boyerborough,Washington,85592-8791,"United States","775-319-8176 x1097","336.812.0048 x8393","520.835.5641 x1269","801-478-8698 x5989",201.484.1440,vickie@example.net,"College Fair - US","1995-05-07 17:37:33.000000",vickie@example.net,Female,Vickie@asu.gmail,,,3.569225023374,2.43794937134622,,,Valid,Married,"Am. Indian Alaska Native",,"Political Science",,"Mobile Phone",2689073271,1206158841,,Vickie.Corwin@asuFake.edu
44,,Jacinto,Feil,Prof,"8985 Dach Fields","South Maximuston",Iowa,97041,"United States","82260 Friesen Isle",Lizzietown,Idaho,92955-7442,"United States",440.417.8526,"347-972-7684 x7350","(502) 650-5558 x5224","(704) 308-6215 x4052","(614) 870-6584",jacinto@example.net,Email,"1992-10-01 04:09:38.000000",jacinto@example.net,Male,Jacinto@asu.gmail,,,3.87537079686344,2.60743077180586,,,Temp,Unknown,Asian,,"Mechanical Engineering",,"Local Phone",0765441539,1207930399,,Jacinto.Feil@asuFake.edu
45,,Lilian,Shanahan,Mr.,"628 Walker Crossroad",Rosaleeshire,Maryland,35716,"United States","37529 Emmie Station","South Mathew",Arizona,11448-1146,"United States",316-817-7301,"(901) 858-4828","541-912-6421 x6771","(508) 564-0521","(312) 586-1498 x9599",lilian@example.net,PeopleSoft,"1993-06-21 05:42:46.000000",lilian@example.net,Male,Lilian@asu.gmail,,,1.71659479971903,1.89813125306099,,,Temp,Unknown,Asian,,Business,,Email,6336126511,1206892941,,Lilian.Shanahan@asuFake.edu
46,,Michael,Emmerich,Ms.,"56369 Brice Mountains","West Generalside","West Virginia",28666,"United States","224 Koss Manor","Lake Edmund",Vermont,19519,"United States",603-760-0977,505.406.4126,"856-712-0508 x3997",702-308-0278,508-551-5225,michael@example.com,"Test Scores","1990-11-08 11:55:50.000000",michael@example.com,Female,Michael@asu.gmail,,,2.03142066023278,1.73016026561133,,,Valid,Single,Hispanic,,"Mechanical Engineering",,"Mobile Phone",5581067768,1203574450,,Michael.Emmerich@asuFake.edu
47,,Doyle,Franecki,Prof,"597 Moore Passage","West Imaland",Arizona,39857-9036,"United States","370 Barrett Rapid","North Margaretton","New York",68886-0884,"United States","(830) 608-8324 x5166","301-973-3007 x1494","(417) 414-2474","(817) 971-6991 x1334","(435) 707-6056 x3552",doyle@example.com,"Test Scores","1991-11-26 20:33:27.000000",doyle@example.com,Female,Doyle@asu.gmail,,,3.59935803638289,2.51011362786992,,,Role,Divorced,"Pacific Islander",,Psychology,,"Mobile Phone",8533523707,1205974255,,Doyle.Franecki@asuFake.edu
48,,Edwin,Rolfson,Prof,"89066 Kamille Extensions",Bruenview,Alaska,80927-3221,"United States","545 Freeda Pine",Jackchester,Colorado,92749-6761,"United States","715-616-4120 x6851","717-402-8282 x6448","708-651-8576 x6306","315.315.9489 x1057","209-557-5094 x9096",edwin@example.com,Walk-in,"1992-02-07 03:28:40.000000",edwin@example.com,Female,Edwin@asu.gmail,,,3.15561352750061,1.25834926161882,,,Temp,Single,"Black African-American",,Economics,3.20272785190678,"Local Phone",0783604940,1207474288,,Edwin.Rolfson@asuFake.edu
49,,Valentine,Runolfsdottir,Prof,"4138 Easton Fields",Kuhlmanside,California,67969,"United States","2631 Destinee Overpass",Micahbury,Ohio,37512-6759,"United States","(662) 636-8147",615.816.5766,"707-314-4649 x6357","239-510-8632 x6578","401.662.3022 x1702",valentine@example.org,PeopleSoft,"1989-08-05 09:01:54.000000",valentine@example.org,Female,Valentine@asu.gmail,,,3.18554350153599,3.41739042346502,,,Temp,Divorced,Asian,,Psychology,,"Home Phone",9331516917,1203780608,,Valentine.Runolfsdottir@asuFake.edu
