id,sfdc_id,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Phone,MobilePhone,Fax,Email,Website,Description,LeadSource,Status,Rating,HasOptedOutOfEmail,IsConverted,IsUnreadByOwner,DoNotCall,HasOptedOutOfFax,Gender,Date_of_Birth__c,Recruiting_Email__c,Degree_Type__c,Academic_Plan_list__c,Research_Experience__c,Contact_Preference__c,ASU_Student__c,Course_Load__c,Secondary_Email__c,Undergraduate_GPA__c,Ethnicity__c,CRMfusionDBR101__ProductInterest__c,Jr_Sr_GPA__c,Veteran_Status__c,Enrollment_Term__c,Test_Record__c,College__c,Online__c,Lead_Source_Subtype__c,Email_Status__c
13,,McKenzie,Ronaldo,Prof,,"Harvey, Homenick and Emard","3909 Weber Keys",Hilpertport,Arkansas,59320-1647,"United States",202-210-8876,"(979) 502-8268 x6605","339-724-0553 x8336",mckenzie@example.org,,,"College Fair - Int",Inactive,Cold,true,false,false,false,false,Unknown,"1993-03-30 15:46:40.000000",mckenzie@example.org,Doctoral,,No,"Mobile Phone",true,"No response",ronaldo@example.net,,"Black African-American","GC5000 series",,"I am active duty","2015 Spring",false,GRGC,,"Info Session - Campus",Role
14,,Lang,Violet,Prof,,Bechtelar-Wintheiser,"644 Emmalee Keys","Port Eladio",Wyoming,64015-2667,"United States",202-615-0853,301-478-0057,"(262) 559-7583",lang@example.net,,,Event,Prospect,Warm,false,false,true,true,true,Unknown,"1991-09-17 07:13:42.000000",lang@example.net,Certificate,,Unknown,"Mobile Phone",false,Undecided,violet@example.com,,Asian,"GC5000 series",,"I am a veteran","2016 Spring",true,GRTE,,"Health Solutions",Valid
15,,Kshlerin,Randi,Mrs.,,Kreiger-Murphy,"240 O'Conner Villages","West Aidan",Arizona,10559,"United States",903.707.9319,831-215-0259,"931-907-1651 x9194",kshlerin@example.org,,,"Phone Call",Prospect,Warm,true,false,true,false,false,Female,"1990-07-16 06:34:01.000000",kshlerin@example.org,Doctoral,,Unknown,"Home Phone",false,Undecided,randi@example.com,1.11323188607753,Asian,"GC1000 series",2.64948394588966,"I am active duty","2017 Fall",true,GRBA,,"ASU Online",Valid
16,,Baumbach,Eladio,Mr.,,Kohler-Carroll,"7705 Garfield Cove",Cronafort,Massachusetts,54565-7169,"United States","(610) 925-8392 x6954",956-425-5243,"810-804-1448 x0504",baumbach@example.net,,,"Web Form",Prospect,Hot,false,false,true,true,false,Male,"1991-05-14 21:19:54.000000",baumbach@example.net,Non-Degree,,Yes,"Local Phone",true,Undecided,eladio@example.com,2.95877298029473,"Am. Indian Alaska Native","GC5000 series",2.05266919630431,"I am a spouse or dependent of an active duty or veteran","2016 Fall",true,GRLA,,"Health Solutions",Role
17,,Bradtke,Sigurd,Ms.,,"McDermott Inc","32282 Huel Groves","East Angelicaview",Idaho,94781,"United States",717.503.9985,"510-318-6011 x4064","662-660-9723 x9486",bradtke@example.org,,,"Web Form",Prospect,Cold,false,false,true,true,true,Female,"1990-04-13 19:11:50.000000",bradtke@example.org,Masters,,No,"Local Phone",true,Undecided,sigurd@example.com,1.07118087037746,"Pacific Islander","GC1000 series",1.24110826761609,"National Guard","2017 Fall",true,GRGC,,"Coll Technology & Innovation",Role
18,,Brakus,Elvera,Ms.,,"Keebler Group","83036 Hirthe Path",Hellerview,Virginia,37351,"United States","(360) 517-9908 x7294",516-567-8738,"407.918.4537 x9395",brakus@example.net,,,Event,Inactive,Cold,false,false,true,true,true,Female,"1989-08-18 04:59:41.000000",brakus@example.net,Doctoral,,Unknown,Email,true,Undecided,elvera@example.com,1.0378749249159,"Pacific Islander","GC3000 series",3.27351186443501,"I am active duty","2017 Spring",false,GRNH,,Import,Temp
19,,Bogisich,Michael,Dr.,,Batz-Brown,"3934 Josue Run",Taylorbury,Louisiana,20495-9009,"United States","(386) 464-9390","(248) 803-5561 x8391",808-813-0568,bogisich@example.org,,,"Phone Call",Inactive,Warm,true,false,false,true,true,Male,"1993-03-01 17:07:44.000000",bogisich@example.org,Masters,,Yes,"Mobile Phone",true,Undecided,michael@example.org,2.6214382258022,Asian,"GC3000 series",1.74388043637285,"National Guard","2017 Spring",true,GRTS,,"EGSS Applying",Temp
20,,Kessler,Mitchell,Ms.,,"Dietrich, D'Amore and Swift","69538 Angelita Shoal",Collinsshire,Tennessee,31975,"United States","361-850-8466 x6103",660-727-0467,"(716) 641-9986 x8968",kessler@example.org,,,PeopleSoft,Inactive,Hot,true,false,true,false,false,Female,"1995-06-14 03:01:24.000000",kessler@example.org,Non-Degree,,Yes,"Mobile Phone",true,Full-time,mitchell@example.com,2.79183482719979,"Pacific Islander","GC5000 series",1.81994995664463,"I am active duty","2015 Spring",false,GRES,,"New Interdis Arts & Sciences",Valid
21,,Zieme,Arely,Dr.,,"Douglas, Bergstrom and Mills","2597 Heidenreich Plain","New Janstad",Ohio,97658-4296,"United States",919-406-2351,"(478) 985-1832","940-227-0667 x9867",zieme@example.org,,,"College Fair - US",Prospect,Cold,true,false,false,true,false,Unknown,"1993-12-21 23:40:53.000000",zieme@example.org,Certificate,,Yes,"Mobile Phone",false,Part-time,arely@example.com,,Hispanic,"GC1000 series",,"I am a spouse or dependent of an active duty or veteran","2016 Spring",false,GRTE,,"O'College of Law",Valid
22,,Cartwright,Matilda,Prof,,"Marquardt, Klein and Leannon","5689 Freida Centers","Port Liamport",Maryland,77193-0743,"United States","(619) 239-2320 x4930","501.505.7852 x7834",801-650-0234,cartwright@example.com,,,Walk-in,Prospect,Warm,false,false,true,false,true,Male,"1992-07-04 10:10:36.000000",cartwright@example.com,Non-Degree,,Yes,"Local Phone",true,"No response",matilda@example.com,3.04290797521529,Hispanic,"GC1000 series",3.35430556561707,"I am a spouse or dependent of an active duty or veteran","2017 Fall",false,GRBA,,"Degree Search",Temp
23,,Murphy,Forest,Mrs.,,Johnston-Fisher,"629 Powlowski Landing",Bauchfort,Maryland,92310,"United States",661-803-5433,"423-502-7904 x0529",206-901-3903,murphy@example.net,,,Advertisement,Inactive,Cold,true,false,true,false,true,Female,"1990-11-21 06:45:45.000000",murphy@example.net,Doctoral,,Unknown,"Mobile Phone",false,Part-time,forest@example.org,3.77882427701481,White,"GC1000 series",3.32996444962474,"National Guard","2016 Spring",false,GRNU,,"EGSS Personal Statement",Valid
24,,Hammes,Tyler,Dr.,,Kemmer-Cartwright,"3707 Kuhn Park","East Demario",Connecticut,89554,"United States",445-248-8590,339-718-8810,"608-231-8880 x1004",hammes@example.net,,,"College Fair - US",Prospect,Warm,false,false,true,true,true,Male,"1993-05-09 20:46:16.000000",hammes@example.net,Masters,,Yes,"Local Phone",false,Part-time,tyler@example.com,3.50619043291646,"Am. Indian Alaska Native","GC5000 series",2.27832997599972,"I am a spouse or dependent of an active duty or veteran","2016 Spring",false,GRAS,,"Ira A Fulton Engineering",Temp
25,,Sanford,Dexter,Ms.,,"Feest, Ruecker and Halvorson","3300 VonRueden Heights","West Trevaton",Alaska,92820,"United States",830-610-3754,"646.805.4342 x3707","(419) 703-9380",sanford@example.net,,,"Web Form",Inactive,Cold,false,false,true,false,true,Female,"1990-04-25 23:35:07.000000",sanford@example.net,Certificate,,No,"Home Phone",true,"No response",dexter@example.org,3.62324699170101,Asian,"GC3000 series",3.90458099579519,"National Guard","2015 Spring",false,GRSU,,NNE,Role
26,,Hansen,Joshua,Dr.,,"Koepp, McKenzie and Heaney","66007 Corkery Circles",Halvorsonmouth,Indiana,97565,"United States","331-602-9926 x4166","(718) 872-4650","(920) 715-6030",hansen@example.com,,,"College Fair - US",Prospect,Cold,true,false,true,true,false,Unknown,"1991-12-17 08:36:46.000000",hansen@example.com,Masters,,Unknown,"Local Phone",true,"No response",joshua@example.net,2.78406062630926,Asian,"GC1000 series",1.33587979217882,"I am a spouse or dependent of an active duty or veteran","2016 Fall",false,GRES,,"MaryLouFulton Teachers College",Role
27,,Herzog,Santa,Ms.,,"Wiegand, O'Connell and Abshire","317 Nitzsche Ridges","New Retaside",Massachusetts,88247-4641,"United States",201-520-4513,"320-850-0886 x6043","(662) 541-7747",herzog@example.org,,,Walk-in,Prospect,Cold,true,false,true,true,false,Female,"1994-03-16 00:18:01.000000",herzog@example.org,Certificate,,Unknown,Email,true,"No response",santa@example.org,,"Am. Indian Alaska Native","GC5000 series",,"I am a veteran","2017 Fall",true,GRGC,,TOEFL,Role
28,,Von,Kathlyn,Ms.,,"Mueller Inc","709 Hoppe Course",Norriston,Montana,32012-8771,"United States","862-910-6768 x5978","(718) 973-7057 x8347","408-217-2479 x7479",von@example.org,,,Walk-in,Inactive,Warm,false,false,false,false,false,Female,"1989-11-30 20:32:25.000000",von@example.org,Masters,,Yes,Email,true,Full-time,kathlyn@example.net,1.60409512854092,Asian,"GC5000 series",3.1149967519379,Reserves,"2015 Fall",true,GRPP,,Import,Role
29,,Dicki,Myron,Mr.,,"Walker, Schinner and Hermann","440 Hilll Mission","South Holdenport",Hawaii,35448,"United States",323-502-3451,701.564.6002,"(718) 404-6955 x6184",dicki@example.org,,,Advertisement,Inactive,Warm,true,false,true,false,false,Male,"1991-04-06 12:25:09.000000",dicki@example.org,Non-Degree,,No,"Local Phone",false,Part-time,myron@example.org,2.7899186975304,Asian,"GC1000 series",2.48308723287042,"I am a veteran","2016 Spring",true,GRNU,,"School of Sustainability",Temp
30,,Parker,Davonte,Prof,,"Gerlach, Kiehn and Smith","4641 Zieme Cove",Kaiatown,"South Carolina",98196-8193,"United States",304-562-3708,"901-971-7765 x6908","248-947-8766 x3663",parker@example.com,,,Advertisement,Prospect,Hot,false,false,true,false,false,Female,"1995-03-27 20:05:12.000000",parker@example.com,Non-Degree,,Yes,"Mobile Phone",true,Undecided,davonte@example.org,,White,"GC3000 series",,"I am active duty","2015 Fall",false,GRNH,,"Degree Search",Temp
31,,Bergnaum,Oswaldo,Mrs.,,Schroeder-Boehm,"2404 Renner Crossroad",Reubenburgh,Alaska,90445-1643,"United States","317.978.0464 x2799",445-413-2540,"717-425-0837 x9236",bergnaum@example.net,,,"College Fair - Int",Inactive,Cold,true,false,false,true,false,Female,"1995-10-21 01:05:38.000000",bergnaum@example.net,Doctoral,,No,"Local Phone",true,Undecided,oswaldo@example.org,,"Pacific Islander","GC3000 series",,"I am active duty","2017 Fall",true,GRLA,,"Degree Search",Temp
32,,Smitham,Dewitt,Mrs.,,"Brown, Brekke and Rippin","8429 Dane Springs","New Evans","West Virginia",65718-0361,"United States","949.774.0595 x4830","(225) 617-6905","227-646-7699 x0211",smitham@example.net,,,Advertisement,Inactive,Cold,true,false,true,true,true,Female,"1995-05-09 12:31:58.000000",smitham@example.net,Masters,,No,"Local Phone",true,Part-time,dewitt@example.org,,Hispanic,"GC5000 series",,"I am active duty","2015 Spring",false,GRNH,,"Health Solutions",Role
33,,Walsh,Gretchen,Mr.,,Corwin-Abbott,"9046 Concepcion Path","New Margiemouth",Minnesota,30215-4566,"United States","314.916.8308 x2604",619-651-7408,"727-714-3735 x0128",walsh@example.org,,,"Employee Referral",Inactive,Warm,false,false,false,true,false,Male,"1990-01-31 21:32:22.000000",walsh@example.org,Non-Degree,,No,Email,false,Full-time,gretchen@example.org,3.47372777611968,Asian,"GC1000 series",2.80823103541263,Reserves,"2015 Spring",false,GRPP,,"EGSS Financing",Valid
34,,Wunsch,Karina,Mrs.,,"Hane and Sons","38177 Reichel Courts","Lake Ignacioland",Kansas,39097-4234,"United States","662-307-1917 x3110","586-714-7542 x0115","(975) 848-0564",wunsch@example.net,,,Event,Inactive,Cold,true,false,true,true,true,Female,"1992-06-29 15:53:36.000000",wunsch@example.net,Non-Degree,,Unknown,"Local Phone",true,Full-time,karina@example.org,,"Black African-American","GC5000 series",,"National Guard","2015 Fall",false,GRES,,"Ira A Fulton Engineering",Valid
35,,Krajcik,Kendra,Mrs.,,"Greenholt and Sons","35748 Dora Inlet",Morarfort,Pennsylvania,60814,"United States","(248) 785-4924 x1992",253.714.6084,"(901) 321-4098 x2239",krajcik@example.com,,,"Test Scores",Prospect,Cold,false,false,true,false,true,Female,"1989-08-15 01:45:05.000000",krajcik@example.com,Doctoral,,Unknown,Email,true,Undecided,kendra@example.org,,Hispanic,"GC3000 series",,"I am active duty","2016 Fall",false,GRAS,,"Info Session - Campus",Temp
36,,Green,Quinton,Prof,,"Carroll, Spencer and Nicolas","43048 Tatum Pines","North Cathyborough",Delaware,29569,"United States","512.434.9464 x5874","(979) 224-0453",956-810-6420,green@example.org,,,Event,Inactive,Hot,false,false,false,false,false,Male,"1991-01-17 17:55:23.000000",green@example.org,Non-Degree,,Unknown,"Home Phone",true,Part-time,quinton@example.com,3.58375143607501,"Black African-American","GC5000 series",3.3669103002196,"I am a spouse or dependent of an active duty or veteran","2017 Spring",false,GRAS,,"Degree Search",Role
37,,VonRueden,Bernadine,Ms.,,"Paucek Inc","52046 Powlowski Valleys","Port Shanie",Arizona,49576-2297,"United States",860-925-0891,"(706) 561-0023 x6614","(765) 646-5407 x7482",vonrueden@example.org,,,"ASU UG",Prospect,Warm,false,false,false,false,true,Female,"1989-07-02 06:46:21.000000",vonrueden@example.org,Certificate,,Yes,Email,false,Undecided,bernadine@example.net,3.07136130557217,White,"GC3000 series",1.28344229365128,"I am a veteran","2016 Fall",false,GRNH,,"Nursing & Health Innovation",Temp
38,,Sauer,Braeden,Dr.,,"Weissnat, Luettgen and Balistreri","447 Lacey Ports",Murphyland,"South Dakota",60015,"United States","217-860-1483 x3579","662-865-1687 x2715","513.601.7332 x1778",sauer@example.net,,,"Partial App",Prospect,Warm,true,false,true,true,true,Female,"1993-08-13 10:40:59.000000",sauer@example.net,Masters,,Yes,"Local Phone",false,Part-time,braeden@example.org,,"Black African-American","GC3000 series",,Reserves,"2014 Fall",false,GRTE,,"College Of Public Programs",Role
39,,Botsford,Albina,Prof,,"Brekke and Sons","7498 Kshlerin Spring","South Esta","New York",64284-9707,"United States",715.217.4972,"409.919.0441 x1875","760-502-4264 x9256",botsford@example.com,,,"College Fair - Int",Inactive,Cold,false,false,true,false,true,Female,"1990-10-05 02:35:56.000000",botsford@example.com,Masters,,No,"Home Phone",false,"No response",albina@example.com,2.48974691265435,Asian,"GC1000 series",2.58984641990979,"I am a veteran","2016 Spring",false,GRCS,,"Health Solutions",Temp
40,,Conn,Rosanna,Mr.,,Jakubowski-Toy,"3526 Hayden Summit",Leuschkeport,Massachusetts,27159,"United States",508.479.5684,"318-217-4341 x7238","424.984.5451 x8708",conn@example.net,,,"College Fair - US",Prospect,Cold,false,false,false,false,true,Male,"1994-11-05 17:28:08.000000",conn@example.net,Doctoral,,Yes,Email,true,Part-time,rosanna@example.com,3.45089246284694,"Black African-American","GC1000 series",2.85102877110994,"I am a spouse or dependent of an active duty or veteran","2014 Fall",false,GRPP,,GRE,Role
41,,Towne,Genesis,Mrs.,,Buckridge-Wiegand,"792 Aliyah Highway","New Juniorshire",Texas,77307,"United States","914-423-7071 x1126","541-712-3491 x3216","989.509.5921 x5383",towne@example.net,,,"Employee Referral",Prospect,Cold,true,false,false,false,false,Female,"1993-08-04 06:01:43.000000",towne@example.net,Non-Degree,,Unknown,"Mobile Phone",false,"No response",genesis@example.org,,"Black African-American","GC1000 series",,"I am a spouse or dependent of an active duty or veteran","2015 Fall",false,GRTS,,Idealist,Temp
42,,Walsh,Bell,Mr.,,"Rosenbaum Group","6606 Shanahan Island",Satterfieldchester,Illinois,55806,"United States","(281) 973-6112 x8086","952-620-1964 x6010",760.916.2245,walsh@example.com,,,"College Fair - Int",Prospect,Cold,true,false,false,true,true,Male,"1992-01-25 00:59:02.000000",walsh@example.com,Non-Degree,,Unknown,Email,false,Undecided,bell@example.org,1.11138862786224,White,"GC1000 series",3.24075639725499,"I am a veteran","2016 Spring",true,GRCS,,"Cronkite School-Journ/MassComm",Temp
43,,Schowalter,Ferne,Ms.,,"Koch Group","966 Buckridge Flat","Lake Mustafa",Arkansas,44219-5836,"United States","(815) 229-4926 x5762","910-973-4101 x0181","407.804.0362 x8299",schowalter@example.org,,,"Phone Call",Prospect,Hot,true,false,false,true,true,Female,"1992-11-15 03:02:33.000000",schowalter@example.org,Doctoral,,Unknown,"Local Phone",true,Undecided,ferne@example.com,,"Black African-American","GC1000 series",,Reserves,"2017 Spring",true,GRTE,,"GRE Subject",Temp
44,,Herman,Tiffany,Ms.,,Marvin-Kertzmann,"639 Kiel Pike","South Retha",Delaware,13943-4823,"United States",216-651-2742,"940-872-0827 x9599","(470) 936-9084 x6588",herman@example.net,,,"College Fair - US",Prospect,Cold,false,false,false,false,true,Female,"1994-05-18 14:18:57.000000",herman@example.net,Non-Degree,,Yes,"Mobile Phone",false,Undecided,tiffany@example.net,,White,"GC1000 series",,"I am a veteran","2015 Spring",false,GRPP,,Import,Valid
45,,Altenwerth,Alek,Prof,,"Keebler, Mante and Runolfsson","5040 Witting Park",Meghanbury,"West Virginia",14467,"United States","916-626-6534 x2244","407-559-8881 x8603","(564) 508-9750 x6525",altenwerth@example.net,,,"ASU UG",Inactive,Hot,false,false,false,false,false,Female,"1993-05-07 03:55:03.000000",altenwerth@example.net,Non-Degree,,Yes,"Local Phone",true,Part-time,alek@example.com,1.66153780197953,White,"GC1000 series",1.13893638268864,"I am a veteran","2014 Fall",true,GRTE,,"New Interdis Arts & Sciences",Valid
46,,Hickle,Graham,Mr.,,"Mohr and Sons","8358 Terry Valleys",Vivienhaven,"New Mexico",21130,"United States","217-248-0775 x2957","517.405.6339 x8460",603-239-3601,hickle@example.net,,,"Phone Call",Prospect,Warm,false,false,false,false,true,Male,"1992-03-08 12:02:41.000000",hickle@example.net,Non-Degree,,No,Email,false,Undecided,graham@example.net,1.66063992742734,"Pacific Islander","GC1000 series",1.83909406022348,"I am a spouse or dependent of an active duty or veteran","2016 Fall",true,GRNU,,TOEFL,Role
47,,"O'Hara",Arielle,Prof,,"Moore, Rohan and Runte","7233 Nolan Lane","South Demetrius",Pennsylvania,61505,"United States","(557) 856-9378","810-336-4046 x1141","464-678-7801 x8625",o_hara@example.org,,,"Employee Referral",Prospect,Warm,true,false,false,false,false,Male,"1994-01-21 23:34:07.000000",o_hara@example.org,Certificate,,Unknown,"Mobile Phone",true,Part-time,arielle@example.com,,Hispanic,"GC5000 series",,Reserves,"2017 Spring",true,GRNH,,NAU,Role
48,,Barrows,Lafayette,Mr.,,"Abshire Group","84381 Rath Divide",Legrostown,"West Virginia",46325,"United States","252-501-1759 x1700","972.206.3391 x1382","(415) 620-5556",barrows@example.org,,,"Employee Referral",Prospect,Cold,true,false,false,true,false,Male,"1991-01-03 12:42:23.000000",barrows@example.org,Certificate,,No,Email,true,Part-time,lafayette@example.org,,White,"GC5000 series",,Reserves,"2015 Fall",true,GRNH,,"Degree Search",Valid
49,,Kris,Tierra,Ms.,,"Pouros, Weissnat and Goodwin","8742 Wunsch Union","New Coystad",Georgia,68248,"United States","(815) 615-8040 x4066","707-475-4887 x0279","516-321-1132 x7824",kris@example.com,,,"Test Scores",Inactive,Hot,true,false,false,false,true,Female,"1992-06-08 12:06:42.000000",kris@example.com,Non-Degree,,Unknown,Email,true,Part-time,tierra@example.com,,Asian,"GC3000 series",,"I am active duty","2016 Fall",true,LWLW,,"Ira A Fulton Engineering",Role
50,,Dibbert,Florian,Dr.,,"Davis and Sons","778 Parker Common","North Elisabethfort",Nevada,75140,"United States","(409) 774-6521 x7676","(980) 513-0984 x6741","316.585.8007 x4861",dibbert@example.com,,,Walk-in,Inactive,Cold,true,false,true,true,true,Female,"1990-06-04 12:13:44.000000",dibbert@example.com,Masters,,Unknown,Email,true,Part-time,florian@example.com,,White,"GC5000 series",,"I am active duty","2017 Fall",false,GRHI,,"Coll Technology & Innovation",Temp
51,,Rogahn,Cierra,Ms.,,"Bailey, Lemke and Dibbert","918 Funk Lights","West Isabellaberg","West Virginia",76263,"United States","(975) 912-8092 x6999","(406) 260-8123 x6506",630-980-2876,rogahn@example.org,,,"Phone Call",Prospect,Hot,true,false,false,false,true,Female,"1990-04-02 16:26:21.000000",rogahn@example.org,Certificate,,No,"Local Phone",false,Part-time,cierra@example.com,3.70217350591831,"Black African-American","GC3000 series",2.12900028635922,"I am a veteran","2016 Spring",true,GRNU,,"CA Diversity",Valid
52,,Waters,Ian,Ms.,,"Lynch, Lueilwitz and Kerluke","444 Colleen Mountains",Adelinechester,Alaska,88772,"United States","(860) 414-8758 x4012",231-386-6975,"(870) 817-3623 x8550",waters@example.net,,,"Phone Call",Open,Hot,true,false,true,false,true,Female,"1993-09-27 00:51:12.000000",waters@example.net,Certificate,,No,"Mobile Phone",true,Full-time,ian@example.com,,Hispanic,"GC5000 series",,Reserves,"2017 Fall",true,GRPP,,Conference,Role
