id,sfdc_id,FirstName,LastName,Salutation,RoverStatus,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,Email,LeadSource,Birthdate,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,Personal_Email__c,Gender,ASU_Gmail__c,Arizona_Resident__c,Visa_Type__c,Undergraduate_GPA__c,Jr_Sr_GPA__c,Military_Status__c,Military_Branch__c,Email_Status__c,Marital_Status__c,Ethnicity,FERPA__c,Undergraduate_Major__c,Graduate_GPA__c,Contact_Preference__c,Student_Number__c,ASURite_ID__c,Deceased__c,ASU_Email__c,Test_Record__c
11,,Barrett,Bartoletti,Mr.,No,"7985 Jayce Brook","Lake Dillanhaven",Hawaii,11301-2246,"United States","365 Yundt Fall","Port Jazmyn",Wisconsin,86241-8079,"United States","301.210.4593 x8674","419-678-2607 x9212",317.810.2850,"(557) 218-1172 x3506",225-509-6804,barrett@example.org,"Purchased List","1991-05-31 21:33:09.000000",true,true,true,barrett@example.org,Male,Barrett@asu.gmail,true,,3.21417962880617,2.76784450327473,,,Role,Married,"Black African-American",false,Economics,,Email,9014850213,1208520534,false,Barrett.Bartoletti@asuFake.edu,
12,,Layne,Corkery,Mr.,No,"778 Jenkins Court",Botsfordland,Nebraska,76444,"United States","38762 Bergnaum Inlet",Kubfort,Vermont,58491-8932,"United States","804.708.0844 x0116","(704) 254-8866","(518) 318-9302",941.464.1704,"(863) 469-9730",layne@example.com,Advertisement,"1995-02-04 23:45:01.000000",true,false,false,layne@example.com,Male,Layne@asu.gmail,false,,1.96308759707122,1.11455692587111,,,Temp,Married,"Pacific Islander",false,"Mechanical Engineering",3.00908512943986,"Home Phone",0261448512,1204944291,false,Layne.Corkery@asuFake.edu,
13,,Maya,Flatley,Mr.,No,"62225 Osinski Mission","New Dereck",Georgia,55068-0733,"United States","282 Wava Mill",Mohrburgh,Vermont,83190-8317,"United States","(323) 805-7420 x7892",848-415-5360,"646-615-0612 x1024","401.212.7929 x2878","227-410-2275 x2591",maya@example.com,"Employee Referral","1995-06-29 21:12:49.000000",true,false,false,maya@example.com,Male,Maya@asu.gmail,false,,3.73088935028118,3.35126013190551,,,Valid,Married,Asian,false,Business,3.83663422695782,"Home Phone",8744583916,1205049878,false,Maya.Flatley@asuFake.edu,
14,,Clemmie,Windler,Mrs.,No,"74563 Connelly Valley","West Mathiaston",Louisiana,72274-8983,"United States","731 Garnett Ridges","East Pattie","Rhode Island",94266-3069,"United States","561-505-7476 x8218","(507) 918-9737","(952) 678-9189",804.856.6667,765.234.7857,clemmie@example.com,"Partial App","1996-03-13 23:39:47.000000",false,false,true,clemmie@example.com,Female,Clemmie@asu.gmail,true,,3.48516062083234,3.4926123520953,,,Valid,Married,White,true,"Mechanical Engineering",3.11130753776656,"Home Phone",8850015985,1208345086,false,Clemmie.Windler@asuFake.edu,
15,,Brenden,Waelchi,Mrs.,No,"100 Lenny Circle","New Robin",Alabama,10625-4671,"United States","59099 Bechtelar Circles",Janechester,Texas,24549-1520,"United States","(848) 808-0848","214.479.0800 x6004","904-763-4033 x1788","813.734.3753 x5292","617-936-2414 x3715",brenden@example.net,Email,"1994-12-15 15:48:24.000000",true,false,true,brenden@example.net,Female,Brenden@asu.gmail,false,,1.87678713725137,1.45746630270747,,,Valid,Married,Hispanic,false,"Computer Science",3.39305260119814,"Home Phone",3129158210,1201768925,false,Brenden.Waelchi@asuFake.edu,
16,,Janiya,Prohaska,Mrs.,No,"88474 Wade Flats",Lonieville,Texas,27761-2341,"United States","766 Crooks Via","North Conradberg",Alaska,79908,"United States","908-970-5695 x2406",662-307-4584,"(505) 586-3840 x4100",316.770.0651,"262.602.8018 x1027",janiya@example.com,"Purchased List","1991-06-21 13:40:33.000000",true,false,true,janiya@example.com,Female,Janiya@asu.gmail,true,,1.06810726339426,1.88008383422464,,,Valid,Married,White,false,Mathematics,,"Mobile Phone",5604879209,1205508150,false,Janiya.Prohaska@asuFake.edu,
17,,Chris,Fadel,Dr.,No,"76652 Melvin Meadow","East Stephanieville",Utah,36171-6460,"United States","3603 Hamill Trace","West Paytonside",Hawaii,21787,"United States",415-701-7538,"954-319-2157 x6107",252.312.8835,"660.475.7689 x0401","661-216-5363 x9865",chris@example.com,"Test Scores","1992-05-06 06:05:52.000000",false,false,true,chris@example.com,Male,Chris@asu.gmail,false,,1.29723347199699,3.61417647138566,,,Role,Single,"Am. Indian Alaska Native",false,Mathematics,,"Local Phone",6933751554,1205136928,false,Chris.Fadel@asuFake.edu,
18,,Maxwell,Zieme,Dr.,No,"982 Braun Rapid",Lynchtown,Vermont,35368,"United States","251 Block Summit","East Laurianne",Idaho,80940,"United States","713.207.3261 x6847","(212) 206-3915 x2985","360.281.7796 x7139","(702) 347-5161 x3669","(623) 845-9096",maxwell@example.org,"ASU UG","1993-09-19 08:25:38.000000",true,false,true,maxwell@example.org,Unknown,Maxwell@asu.gmail,false,,1.06884217332341,2.1616543996301,,,Valid,Single,Asian,true,Psychology,,Email,7765816897,1203538592,false,Maxwell.Zieme@asuFake.edu,
19,,Madisyn,Rowe,Ms.,No,"9472 Zetta Plaza","South Jarrellport","New Hampshire",29952,"United States","9919 Rozella Villages","North Mosesstad",Nebraska,69990,"United States",480-612-2097,206.234.0111,"269-251-5811 x4668","717-508-6394 x1510",501-731-0853,madisyn@example.org,Walk-in,"1995-11-13 21:42:29.000000",true,false,true,madisyn@example.org,Female,Madisyn@asu.gmail,false,,3.43299077020254,1.85597262219544,,,Role,Single,White,true,Psychology,,"Mobile Phone",5181790985,1209811012,false,Madisyn.Rowe@asuFake.edu,
20,,Malinda,Pfannerstill,Mr.,No,"78831 Hagenes Light","South Elinoremouth",Louisiana,66651,"United States","7671 Jerde Oval",Franciscafurt,"South Carolina",67809-8535,"United States",580-906-6434,425-610-2464,"302.480.0736 x9894","612-479-5085 x3419","816.641.7957 x2662",malinda@example.org,"College Fair - US","1992-03-29 20:43:06.000000",true,true,false,malinda@example.org,Male,Malinda@asu.gmail,false,,2.0239385655138,1.58165456212452,,,Temp,Divorced,White,true,Psychology,,"Mobile Phone",7307880868,1200967322,false,Malinda.Pfannerstill@asuFake.edu,
21,,Sabina,Emard,Mr.,No,"114 Dock Mews",Shyannport,Pennsylvania,97272,"United States","28436 Jordon Fords","North Desmondchester",Ohio,14930-5638,"United States","219-504-0719 x4882",985.609.5552,"484-415-4918 x9188","281-712-2548 x5509",610.337.2480,sabina@example.com,"College Fair - US","1989-07-27 03:10:44.000000",false,false,false,sabina@example.com,Male,Sabina@asu.gmail,true,,3.87853258924859,1.30086619899461,,,Role,Unknown,Hispanic,true,"Political Science",3.55658223384478,"Home Phone",6272608727,1209757704,false,Sabina.Emard@asuFake.edu,
22,,Torrey,Pouros,Mrs.,No,"88281 Nettie Mills","North Kurtchester",Mississippi,83888-0459,"United States","9990 Konopelski Mount",Chazshire,Arizona,62487,"United States","480.317.7799 x4759",409.916.6452,208-352-4123,331-702-3441,"701-781-7794 x2243",torrey@example.net,"Partial App","1992-01-18 02:00:08.000000",true,false,false,torrey@example.net,Female,Torrey@asu.gmail,true,,1.16817488490753,3.05543012113619,,,Temp,Married,"Black African-American",false,Biology,3.52318804175461,"Home Phone",4634207272,1207576962,false,Torrey.Pouros@asuFake.edu,
23,,Courtney,Baumbach,Mrs.,No,"20565 Ethel Road","New Gaylordland",Idaho,14074-1220,"United States","90236 Abdul Meadows",Lakinville,Wyoming,40055-1450,"United States","331-512-5844 x5462",830-708-1670,937.713.8181,309-661-3169,785-256-6606,courtney@example.com,"Web Form","1990-07-26 09:48:00.000000",true,true,true,courtney@example.com,Female,Courtney@asu.gmail,true,,2.29984161441948,3.17646906325163,,,Temp,Married,"Black African-American",false,Economics,3.4831741790975,"Home Phone",6590953963,1206711474,false,Courtney.Baumbach@asuFake.edu,
24,,Leopoldo,Collier,Mr.,No,"6279 Ward Burg",Russelburgh,Iowa,39837,"United States","6605 Gavin Common",Veumhaven,Maryland,35206,"United States","(219) 832-9283 x3759","571-786-6226 x3343","(781) 707-5907 x8697","(936) 530-5782 x4101","(203) 260-0722 x9212",leopoldo@example.org,"College Fair - US","1995-10-28 06:20:59.000000",false,true,true,leopoldo@example.org,Male,Leopoldo@asu.gmail,false,,2.14101426599187,1.15175009005484,,,Role,Unknown,Asian,false,"Political Science",3.49993211999105,"Home Phone",1740534614,1201440353,false,Leopoldo.Collier@asuFake.edu,
25,,Emilia,Witting,Mr.,No,"5646 Maximillia Place",Fisherland,Georgia,15946-6568,"United States","41170 Bernier Estates","Lake Edahaven","Rhode Island",24130-7674,"United States","786-774-1385 x0263","831.906.4721 x6467","(843) 667-1648 x5133",703-203-1669,"605-682-8641 x5721",emilia@example.net,"Partial App","1993-09-13 00:55:37.000000",true,false,true,emilia@example.net,Male,Emilia@asu.gmail,true,,2.00714366364794,2.22936568208306,,,Temp,Single,Hispanic,true,"Political Science",,"Local Phone",8545404932,1208855181,false,Emilia.Witting@asuFake.edu,
26,,Randall,Runolfsson,Mr.,No,"99630 Kris Pines",Rogahnhaven,Ohio,43399,"United States","876 Evans Ports",Edwinhaven,Alabama,78805,"United States","619-267-9240 x3480","(304) 952-3389 x8559","(317) 618-5364 x8618",918-405-4177,"773-234-7909 x3928",randall@example.org,"Purchased List","1989-06-30 10:41:54.000000",true,true,false,randall@example.org,Male,Randall@asu.gmail,true,,3.3767617094169,1.28157956052059,,,Valid,Single,"Am. Indian Alaska Native",true,Biology,3.11275103651208,"Home Phone",6272749330,1207632848,false,Randall.Runolfsson@asuFake.edu,
27,,Merlin,Klocko,Prof,No,"4258 Kris Brook",Gorczanyport,Illinois,13210,"United States","619 Hillary Forks","Lake Adeleville",Alaska,84270,"United States","(630) 857-7948 x6498",337.423.3914,"(501) 269-7724","209-253-4142 x8871","(847) 619-1488",merlin@example.net,Advertisement,"1992-10-05 00:52:54.000000",false,true,false,merlin@example.net,Female,Merlin@asu.gmail,false,,2.43607757055086,1.27913062181552,,,Valid,Single,White,true,Biology,3.0198624754565,"Home Phone",8547742869,1200797267,false,Merlin.Klocko@asuFake.edu,
28,,Jermey,Collier,Ms.,No,"59167 Herzog Mountain","North Madison",Utah,22434,"United States","6381 Josianne Valleys","Lake Hettiemouth",Louisiana,96688-5572,"United States","878.508.6006 x4557","310-419-6970 x8480",267-845-5784,227-770-5043,"508-206-9528 x9231",jermey@example.net,"Test Scores","1990-07-29 06:32:31.000000",false,false,false,jermey@example.net,Female,Jermey@asu.gmail,true,,3.26896762347486,3.41242930171536,,,Temp,Single,Asian,true,Mathematics,,"Local Phone",9442461761,1206381589,false,Jermey.Collier@asuFake.edu,
29,,Helmer,Leuschke,Dr.,No,"25314 Liana Circle",Kerluketown,"West Virginia",25357,"United States","258 Norberto Loaf","South Garlandberg","New Mexico",63525,"United States","716-660-2403 x2482","817-251-9337 x4927","828-609-8258 x6207","908.785.8583 x5227","870-424-6016 x7314",helmer@example.com,"College Fair - US","1990-08-22 07:15:29.000000",false,true,true,helmer@example.com,Unknown,Helmer@asu.gmail,true,,3.05516385698545,2.89696632730229,,,Role,Married,Hispanic,true,Biology,3.24847543188374,"Mobile Phone",2634243115,1200906058,false,Helmer.Leuschke@asuFake.edu,
30,,Dawn,Flatley,Mrs.,No,"51411 Haskell Rest",Effertzton,Montana,48396,"United States","54473 Osinski Extension","North Billie","New Mexico",17233-7811,"United States","408.984.1666 x6712","954-561-4990 x3745",252-517-3631,808-737-1384,"501-518-3285 x1865",dawn@example.org,PeopleSoft,"1995-10-23 09:05:45.000000",true,true,true,dawn@example.org,Female,Dawn@asu.gmail,true,,3.52503442037762,2.32171458784721,,,Role,Married,"Am. Indian Alaska Native",false,Psychology,,"Local Phone",4391148108,1203790321,false,Dawn.Flatley@asuFake.edu,
31,,Thelma,Stiedemann,Mr.,No,"807 King Drives",Bernhardtown,Tennessee,70442,"United States","558 Mosciski Mountains",Fadelberg,California,49411,"United States","(253) 305-4018 x6757",478.832.0915,"518.410.5042 x2354","989.949.9468 x7769","913-503-4458 x1717",thelma@example.net,PeopleSoft,"1989-12-10 06:35:47.000000",true,true,false,thelma@example.net,Male,Thelma@asu.gmail,true,,2.58201685119858,2.51306762026563,,,Valid,Unknown,"Black African-American",false,Business,,Email,5625967793,1200002534,false,Thelma.Stiedemann@asuFake.edu,
32,,Novella,Harris,Prof,No,"909 Emile Ridge","New Daleville",Florida,86930,"United States","8558 Towne Route","North Bennieton",Kentucky,14960-8777,"United States","(975) 707-1442","(530) 661-0729 x1780","(707) 915-8293 x8738","878.918.4576 x5964","919-470-5755 x3545",novella@example.com,PeopleSoft,"1995-06-09 04:39:49.000000",false,true,false,novella@example.com,Unknown,Novella@asu.gmail,true,,3.61540867697698,1.79782524292899,,,Role,Single,Hispanic,true,Psychology,3.33480498318995,"Mobile Phone",2554252088,1201224352,false,Novella.Harris@asuFake.edu,
33,,Evert,Lebsack,Mrs.,No,"81907 Sydnie Freeway",Judsontown,Montana,23766,"United States","183 Olson Locks","D'angeloton",Massachusetts,75123,"United States","254-765-5720 x9290","(602) 858-7656 x9857","708-631-2800 x4486","(850) 603-0739","(727) 773-0271 x8541",evert@example.net,Advertisement,"1991-12-15 02:33:36.000000",true,true,false,evert@example.net,Female,Evert@asu.gmail,true,,2.22161317810761,2.36189153134073,,,Temp,Married,Asian,true,Psychology,3.59902387714836,Email,5043163307,1205667220,false,Evert.Lebsack@asuFake.edu,
34,,Marina,Botsford,Mrs.,No,"2696 Klein Dam","South Geoffreychester",Kansas,81690,"United States","2156 Rippin Summit",Melissaton,Florida,45376-6469,"United States",936.312.9575,520.573.7817,"(817) 203-9996 x7382","(913) 464-6203","227-970-5770 x2965",marina@example.org,"College Fair - US","1994-08-05 00:22:59.000000",false,false,false,marina@example.org,Female,Marina@asu.gmail,false,,1.98572327773169,3.14627115103965,Veteran,"Air Force",Valid,Married,"Black African-American",false,Psychology,,"Mobile Phone",1473908705,1207371553,false,Marina.Botsford@asuFake.edu,
35,,Aisha,Schinner,Mrs.,No,"30978 Christopher Circles","Lake Jarvis",Utah,10384,"United States","87353 Howe Shoal",Dorisside,Florida,68146-9134,"United States","407-641-6236 x6695","859-508-1268 x4389","334-724-1479 x7256","(724) 423-6992","252-505-6257 x1048",aisha@example.net,"Test Scores","1990-10-17 13:43:43.000000",false,true,false,aisha@example.net,Female,Aisha@asu.gmail,false,,3.95724182261942,2.64077196160045,,,Role,Married,"Am. Indian Alaska Native",false,Mathematics,3.25475984089587,"Local Phone",1191212398,1200264476,false,Aisha.Schinner@asuFake.edu,
36,,Mark,Raynor,Ms.,No,"5878 Hayes Fields",Ziemeland,Pennsylvania,22192-2304,"United States","893 Emelia Port","East Eve",Massachusetts,68497-6110,"United States",330.318.1713,469-212-0490,"720-719-2232 x7530","443-218-1822 x2620","724-316-3190 x4323",mark@example.com,"Phone Call","1996-03-11 23:15:23.000000",false,false,true,mark@example.com,Female,Mark@asu.gmail,false,,3.1556585839414,1.66995142891138,,,Role,Single,White,false,Biology,3.07126764079416,"Mobile Phone",1993519774,1207813195,false,Mark.Raynor@asuFake.edu,
37,,Assunta,Wiegand,Dr.,No,"7045 Wolf Route","South Rachelleview",Oregon,66912-4243,"United States","4675 Zieme Landing","Lake Karichester",Michigan,21786,"United States","(667) 283-9124","(785) 314-5535","(227) 540-2295 x3162","228-360-5221 x7957","973-330-3864 x0293",assunta@example.org,"College Fair - Int","1993-12-03 00:26:35.000000",false,true,false,assunta@example.org,Male,Assunta@asu.gmail,false,,3.89540703356644,3.17890202684038,,,Role,Divorced,"Black African-American",false,Biology,3.85177345926558,"Local Phone",4190873835,1207902864,false,Assunta.Wiegand@asuFake.edu,
38,,Margarete,Oberbrunner,Prof,No,"6430 Lorenz Road",Ramonstad,"West Virginia",74179-6625,"United States","427 Blair Lodge","North Rosaleehaven",Hawaii,20369-2297,"United States","650-718-8630 x5177","212-440-6143 x9818","843.231.9153 x4112","757-585-4121 x4075","351-786-7567 x5931",margarete@example.org,"ASU UG","1991-04-17 18:28:11.000000",true,true,true,margarete@example.org,Female,Margarete@asu.gmail,true,,1.42545467325088,2.08991519116261,,,Temp,Divorced,"Pacific Islander",true,Biology,3.14405432910941,"Local Phone",0973753904,1205017507,false,Margarete.Oberbrunner@asuFake.edu,
39,,Henri,King,Mrs.,No,"8681 Braeden Courts","New Kittyborough",Maryland,84658,"United States","179 Thiel Ridges",Demarcoton,Ohio,31550-6941,"United States","(434) 814-8543 x4084",580-314-9429,971-205-3771,415-818-9033,"646-404-4921 x8362",henri@example.com,"College Fair - Int","1995-03-02 05:53:57.000000",false,true,true,henri@example.com,Female,Henri@asu.gmail,true,,1.11112703405568,2.53333303634298,,,Role,Married,"Am. Indian Alaska Native",true,Mathematics,3.46742289022071,"Local Phone",6246980342,1205663979,false,Henri.King@asuFake.edu,
40,,Cathrine,Barrows,Dr.,No,"686 Katlyn Locks",Torpview,Missouri,49338-0509,"United States","4510 Schulist Gardens","North Trent","North Dakota",49979,"United States","712-907-6148 x6654","303.785.8228 x0750","(667) 910-3774 x3116",914-914-0799,941.906.4271,cathrine@example.com,Email,"1991-03-11 07:04:43.000000",false,false,true,cathrine@example.com,Unknown,Cathrine@asu.gmail,true,,1.66014751478132,1.05763095907654,,,Valid,Divorced,Hispanic,false,"Political Science",3.59850186548577,"Home Phone",7755679201,1202780176,false,Cathrine.Barrows@asuFake.edu,
41,,Alden,Bartell,Dr.,No,"223 Cecilia Islands","East Casimermouth",Utah,69835-1689,"United States","89728 Boyer Mountains","North Courtney",Alabama,94985,"United States","513-517-6881 x0044","240-501-2133 x8876",646-850-5876,"339-812-4346 x0666","770-971-2578 x1980",alden@example.net,"ASU UG","1990-01-04 13:41:05.000000",false,true,true,alden@example.net,Female,Alden@asu.gmail,true,,3.76543144554212,3.78322751745101,,,Valid,Divorced,"Black African-American",false,"Mechanical Engineering",3.37919559360525,"Local Phone",8605799885,1209194186,false,Alden.Bartell@asuFake.edu,
42,,Dereck,Walsh,Ms.,No,"30393 Kirlin Flats","East Mary","New Jersey",73062,"United States","9410 Kiera Alley","New Lorenaberg","North Carolina",72268,"United States",785.484.1239,614-936-5266,518-413-0386,408.508.9110,"810-940-6127 x8524",dereck@example.net,"Partial App","1991-01-11 08:26:38.000000",false,true,false,dereck@example.net,Female,Dereck@asu.gmail,false,,3.75668426011513,3.82352575964219,,,Role,Single,"Am. Indian Alaska Native",true,"Political Science",3.11657434018968,"Local Phone",7568372305,1203499321,false,Dereck.Walsh@asuFake.edu,
43,,Meghan,Sawayn,Dr.,No,"108 Ratke Flat","South Lelia",Maryland,45293-4272,"United States","69081 Ryley Shore","North Porterton",Illinois,52255,"United States","(570) 803-8017","(330) 216-2493 x6302",636-650-4743,843-254-8110,"(979) 561-3031 x3303",meghan@example.com,"College Fair - US","1995-11-01 14:52:24.000000",true,true,false,meghan@example.com,Female,Meghan@asu.gmail,false,,1.35869045486182,2.74756562020299,,,Temp,Divorced,"Pacific Islander",false,Biology,,"Home Phone",4024228113,1208130329,false,Meghan.Sawayn@asuFake.edu,
44,,Lawrence,Halvorson,Mr.,No,"5035 Jacobi Station","East Ines",Arkansas,92123,"United States","2815 Eli Valleys","East Jimmyton",Alaska,97136,"United States",209-517-8134,712-713-9753,503-941-3337,"(251) 772-8435 x8287","307.413.4264 x8818",lawrence@example.com,Event,"1996-04-02 18:14:46.000000",false,true,false,lawrence@example.com,Male,Lawrence@asu.gmail,true,,2.31449864352332,1.32200203890996,,,Role,Single,Asian,true,Mathematics,3.31471008172744,Email,1325640162,1200565125,false,Lawrence.Halvorson@asuFake.edu,
45,,Josefa,Reinger,Ms.,No,"4361 Schroeder Inlet",Bartelltown,"South Dakota",39014-8201,"United States","31994 Bruen Knoll",Champlinton,Hawaii,97257,"United States","352.540.8934 x4971",979.216.1895,"218.303.4586 x5562","810.319.3863 x7989",724.772.3794,josefa@example.net,"College Fair - Int","1993-04-05 18:40:39.000000",true,true,true,josefa@example.net,Female,Josefa@asu.gmail,true,,2.19207075898147,2.72021386932063,"Active Duty",Army,Temp,Single,"Black African-American",false,Biology,3.64430630047535,"Local Phone",7052989101,1208150117,false,Josefa.Reinger@asuFake.edu,
46,,Malcolm,Mertz,Prof,No,"6536 Morissette Field",Conroybury,Delaware,78883-7795,"United States","631 Marco Islands",Windlerborough,Indiana,60345,"United States","(925) 518-2718",412-917-5080,"502-713-5188 x1907",605-208-0412,"650-517-9936 x3949",malcolm@example.com,"Web Form","1994-04-09 19:29:04.000000",false,false,true,malcolm@example.com,Male,Malcolm@asu.gmail,false,,1.06761728308647,2.46983351715613,"National Guard","Coast Guard",Valid,Unknown,White,false,"Mechanical Engineering",3.25458272676073,Email,0658803456,1202132719,false,Malcolm.Mertz@asuFake.edu,
47,,Fleta,Thiel,Mrs.,No,"3390 Carlee Falls",Georgiannaborough,Florida,10501,"United States","94033 Monty Trail",Koleside,Nebraska,70255-7631,"United States","727.281.8844 x4252","(563) 806-9991 x9917",620-585-4937,903-989-7881,209.301.7698,fleta@example.net,"Phone Call","1989-10-21 03:07:18.000000",true,true,false,fleta@example.net,Female,Fleta@asu.gmail,false,,3.48011342592279,1.19218082276262,,,Valid,Married,White,true,"Computer Science",3.2764039144661,"Local Phone",9433992770,1203431596,false,Fleta.Thiel@asuFake.edu,
